id	name	hp	lvlHp	atk	lvlAtk	def	lvlDef	rng	lvlRng	spd	lvlSpd	crit	lvlCrit	critDmgPlus	atkSpd	lvlAtkSpd	cldX	cldY	skill1	skill2	skill3	skill4	lockTime	swCD	grade	initStar	constellId	charID	nameID	cVId
1	处女1	320	10	20	10	10	5	10000	0	25	0	10	0	0	100	0	0	0	1	1002	2000		3000	30000	2	2	6	1	200001	900001	
2	火魔	240	10	20	10	10	5	25000	0	35	0	10	0	0	100	0	0	0	5	1001	2000		3000	30000	2	3	6	4	200002	900001	
3	月魔	160	10	20	10	10	5	50000	0	30	0	10	0	0	100	0	0	0	6	1003	2000		3000	30000	4	2	6	5	200003	900001	
4	女主	80	10	20	10	10	5	75000	0	20	0	10	0	0	100	0	0	0	3	1001	2000		3000	30000	4	3	10	3	200004	900001	
5	处女2	240	10	20	10	10	5	30000	0	35	0	10	0	0	100	0	0	0	1	1002	2000		3000	30000	2	2	6	1	200005	900001	
6	魔法少女	160	10	20	10	10	5	40000	0	30	0	10	0	0	100	0	0	0	4	1001	2000		3000	30000	2	3	6	6	200006	900001	
7	酒吞	80	10	20	10	10	5	60000	0	20	0	10	0	0	100	0	0	0	2	1001	2000		3000	30000	4	2	6	2	200007	900001	
8	酒吞	80	10	20	10	10	5	60000	0	20	0	10	0	0	100	0	0	0	2	1001	2000		3000	30000	4	2	6	7	200007	900001	
9	酒吞	80	10	20	10	10	5	60000	0	20	0	10	0	0	100	0	0	0	2	1001	2000		3000	30000	4	2	6	8	200007	900001	
10	酒吞	80	10	20	10	10	5	60000	0	20	0	10	0	0	100	0	0	0	2	1001	2000		3000	30000	4	2	6	9	200007	900001	
11	酒吞	80	10	20	10	10	5	60000	0	20	0	10	0	0	100	0	0	0	2	1001	2000		3000	30000	4	2	6	10	200007	900001	
12	酒吞	80	10	20	10	10	5	60000	0	20	0	10	0	0	100	0	0	0	2	1001	2000		3000	30000	4	2	6	11	200007	900001	
13	酒吞	80	10	20	10	10	5	60000	0	20	0	10	0	0	100	0	0	0	2	1001	2000		3000	30000	4	2	6	12	200007	900001	
14	酒吞	80	10	20	10	10	5	60000	0	20	0	10	0	0	100	0	0	0	2	1001	2000		3000	30000	4	2	6	13	200007	900001	
1000	酒吞	100	10	15	5	10	5	8000	0	25	0	10	0	0	100	0	0	0	2	0	0		3000	30000	0	0	0	2	210001	0	
1001	火魔	120	10	15	5	10	5	18000	0	35	0	10	0	0	100	0	0	0	5	0	0		3000	30000	0	0	0	4	210002	0	
1002	月魔	140	10	15	5	10	5	28000	0	30	0	10	0	0	100	0	0	0	6	0	0		3000	30000	0	0	0	5	210003	0	
1003	魔法少女	160	10	15	5	10	5	38000	0	20	0	10	0	0	100	0	0	0	4	0	0		3000	30000	0	0	0	6	210004	0	

