资源键名	资源路径	所在assetBundle名称
DlgLogin	Assets/Res/Prefab/UI/DlgLogin.prefab	dlglogin
DlgBattle	Assets/Res/Prefab/UI/DlgBattle.prefab	dlgbattle
DlgRole	Assets/Res/Prefab/UI/DlgRole.prefab	DlgRole
DlgPause	Assets/Res/Prefab/UI/DlgPause.prefab	DlgPause
DlgChapter	Assets/Res/Prefab/UI/DlgChapter.prefab	DlgChapter
DlgStageInfo	Assets/Res/Prefab/UI/DlgStageInfo.prefab	DlgStageInfo
DlgMain	Assets/Res/Prefab/UI/DlgMain.prefab	DlgMain
DlgServerList	Assets/Res/Prefab/UI/DlgServerList.prefab	dlgserverlist
DlgSkillShow	Assets/Res/Prefab/UI/DlgSkillShow.prefab	DlgSkillShow
DlgRoleFilter	Assets/Res/Prefab/UI/DlgRoleFilter.prefab	DlgRoleFilter
DlgRoleShow	Assets/Res/Prefab/UI/DlgRoleShow.prefab	DlgRoleShow
DlgWait	Assets/Res/Prefab/UI/DlgWait.prefab	dlgwait
FightScene_1	Assets/Res/Prefab/FightScene/FightScene_1.prefab	fightscene_1
FightStage	Assets/Res/Prefab/Fight/FightStage.prefab	fight
LobbyScene	Assets/Res/Prefab/Scene/LobbyScene.prefab	LobbyScene
Char	Assets/Res/Char/Base/Char.prefab	char_base
DlgCreateName	Assets/Res/Prefab/UI/DlgCreateName.prefab	DlgCreateName
DlgChat	Assets/Res/Prefab/UI/DlgChat.prefab	DlgChat
